Strain,4.Aminobutyrate,Acetate,Acetoin,Acetone,Alanine,Butyrate,Citrate,Ethanol,Formate,Fumarate,Glucose,Glycerol,Lactate,Malate,Maltose,Methanol,Pyruvate,Succinate,Valine,Acetaldehyde.Hydrate.IFR,Acetaldehyde.IFR,Ethyl Acetate
3817,0.03345,0.80185,0.00355,0.04345,0.0181,0.01005,0.0081,33.84405,0.0023,0.00185,0.06725,3.67115,0,0.05615,0,0.2337,0.00425,0.1175,0.07575,0.04585,0.02145,0.0045
3820,0.00465,0.4855,0.00315,0.02165,0.0121,0.01355,0.0049,37.73195,0.00375,0.00085,0.0186,4.22985,0.0849,0.02995,0,0.2349,0.00465,0.1071,0.07925,0.0371,0.0054,0.0116
3821,0.0338,0.4897,0.00675,0.0183,0.0253,0.01015,0.00825,37.28465,0.00335,0.00125,0.02025,4.63745,0.11965,0.0305,0,0.22625,0.01055,0.07795,0.08565,0.0504,0.0128,0.00555
3832,0.01435,0.504,0.0059,0.01885,0.01815,0.0302,0.0085,38.4201,0.003,0.00095,0.0255,4.7002,0.15155,0.0264,0,0.23215,0.01645,0.0844,0.00045,0.0364,0.0158,0.0032
3833,0.012666667,0.408666667,0.004033333,0.013933333,0.010433333,0.017333333,0.010733333,36.74193333,0.003966667,0.0012,0.148266667,3.804766667,0.176933333,0.047166667,0.003666667,0.233733333,0.011266667,0.0688,0.0818,0.0474,0.022766667,0.005
3834,0.013533333,0.798033333,0.006166667,0.007866667,0.011766667,0.014166667,0.0067,40.8152,0.034133333,0.001933333,0.9394,3.809666667,0.279333333,0.1529,0.007333333,0.235766667,0.0879,0.151933333,0.0311,0.037633333,0.012366667,0.003066667
3835,0.010933333,0.1021,0.005366667,0.009533333,0.014333333,0.0109,0.010866667,34.3589,0.0112,0.000666667,0.050933333,3.662633333,0.152266667,0.0275,0,0.229,0.026266667,0.013966667,0.053766667,0.032033333,0.013066667,0.003533333
3836,0.00465,0.4009,0.00125,0.0035,0.00545,0.00295,0.0025,14.448,0.0039,0.0007,0.6471,1.97725,0.09605,0.0125,0.0055,0.1078,0.01445,0.0169,0.03245,0.0095,0.00685,0.00125
3837,0.010966667,0.516833333,0.007933333,0.006433333,0.010633333,0.011466667,0.010866667,39.5573,0.004433333,0.0009,0.0277,4.298333333,0.173633333,0.033066667,0,0.232333333,0.058833333,0.066333333,0.064666667,0.028333333,0.014533333,0.005766667
3838,0.011366667,0.201066667,0.006233333,0.0094,0.0081,0.018366667,0.0178,32.8387,0.0099,0.000833333,0.0526,3.050766667,0.191166667,0.032633333,0,0.222133333,0.017466667,0.026233333,0,0.0214,0.009533333,0.008166667
3853,0.005533333,1.500833333,0.004733333,0.022233333,0.014533333,0.014833333,0.0087,31.61873333,0.009766667,0.0007,0.0344,7.7059,0.225733333,0.017633333,0,0.264366667,0.077833333,0.233033333,0.071433333,0.086633333,0.033166667,0.014766667
3867,0.022133333,0.1803,0.005133333,0.0077,0.029033333,0.0173,0.010966667,36.6322,0.003733333,0.003,0.1001,4.250666667,0.209,0.047466667,0,0.230066667,0.036233333,0.056066667,0.031833333,0.0405,0.011366667,0.005266667
3872,0.0078,0.8274,0.009733333,0.006666667,0.008066667,0.006866667,0.005266667,18.2876,0.0299,0.001333333,10.16753333,1.798433333,0.1089,0.019366667,0.017666667,0.213566667,0.023233333,0.0458,0.012833333,0.0327,0.0141,0.0025
4000,0.0336,1.062966667,0.0071,0.015633333,0.024566667,0.0136,0.009766667,34.66743333,0.0039,0.001133333,0.0331,4.4671,0,0.036633333,0,0.2428,0.004633333,0.060033333,0.078033333,0.1518,0.054366667,0.028333333
