Strain,4-Aminobutyrate,Acetate,Acetoin,Acetone,Alanine,Butyrate,Citrate,Ethanol,Formate,Fumarate,Glucose,Glycerol,Glycylproline,Malate,Maltose,Methanol,Pyruvate,Succinate,Valine,acetaldehyde_hydrate_ifr,acetaldehyde_ifr,ethyl acetate
3025,0.250866667,1.3058,0.017033333,0.008,0.1253,0.192166667,0.598433333,119.9845,0.008533333,0.005533333,1.017366667,9.0584,1.0615,0.7023,65.64513333,0.688966667,0.168933333,0.377,0.0575,1.3217,0.030866667,0.0402
3026,0.223133333,0.350533333,0.0155,0.0076,0.3266,0.149466667,0.601433333,120.0061333,0.049533333,0.0074,2.075133333,10.27426667,1.1254,0.453666667,74.47696667,0.691866667,0.187866667,0.1914,0.146333333,1.178166667,0.015966667,0.174666667
3028,0.226366667,0.543333333,0.0178,0.007333333,0.355533333,0.144,0.582466667,118.0549333,0.052133333,0.0069,1.355933333,12.34713333,1.113666667,0.375566667,63.38313333,0.662266667,0.158266667,0.128933333,0.1825,1.144066667,0.020233333,0.216033333
3030,0.203933333,0.201433333,0.017133333,0.004766667,0.4061,0.129233333,0.5842,75.33053333,0.052533333,0.005133333,1.302866667,8.644633333,1.096433333,0.2954,86.41483333,0.6202,0.157366667,0.079533333,0.2009,1.2681,0.0108,0.064
3031,0.231733333,1.4075,0.016733333,0.007566667,0.101,0.209233333,0.617,188.7658,0.011166667,0.005933333,1.312133333,14.03723333,1.116733333,0.634833333,49.03273333,0.6807,0.312733333,0.475666667,0.070766667,1.473833333,0.027466667,0.114233333
3032,0.263433333,0.366233333,0.0191,0.008833333,0.356266667,0.207466667,0.611733333,143.5495,0.0536,0.0062,2.467066667,10.49476667,1.1111,0.449733333,68.92876667,0.549266667,0.205333333,0.219333333,0.136066667,2.320166667,0.021333333,0.2962
3033,0.2382,1.160133333,0.013666667,0.005566667,0.2114,0.171733333,0.608833333,125.8708333,0.0115,0.004466667,1.1209,13.13683333,1.048133333,0.580933333,64.47723333,0.680266667,0.232666667,0.346566667,0.125133333,1.320333333,0.016466667,0.0627
3035,0.1413,1.547933333,0.019333333,0.0071,0.0371,0.2167,0.614266667,202.9726667,0.007866667,0.005866667,1.087266667,13.49656667,1.0953,0.859666667,37.49033333,0.6999,0.359433333,0.6739,0.0725,1.1984,0.033,0.073233333
3036,0.2241,1.766033333,0.0189,0.006366667,0.053166667,0.216533333,0.609233333,173.4422333,0.0089,0.005066667,1.165033333,14.1595,1.115866667,0.7439,48.24993333,0.688466667,0.3332,0.541733333,0.037933333,1.289633333,0.024366667,0.048966667
3037,0.074233333,1.378466667,0.021833333,0.007933333,0.046133333,0.193233333,0.695666667,273.7212333,0.006833333,0.011866667,1.287433333,9.124,1.2359,0.688866667,15.58213333,0.6989,0.4675,0.5897,0.076233333,0.831066667,0.055366667,0.141333333
3038,0.211833333,0.145833333,0.015866667,0.005233333,0.4319,0.110866667,0.584433333,65.61146667,0.0586,0.007266667,1.127333333,8.437466667,1.17,0.3136,81.52106667,0.6699,0.130333333,0.0838,0.202933333,1.0481,0.008766667,0.328266667
3039,0.0867,1.4553,0.02245,0.00945,0.0433,0.2864,0.6245,267.9436,0.00895,0.0047,1.0799,9.86015,0.6736,0.56165,20.7093,0.70055,0.34055,0.79785,0.07605,1.29335,0.0962,0.04265
3051,0.191566667,1.0134,0.021566667,0.0082,0.1854,0.1703,0.592266667,196.8326,0.007366667,0.003933333,1.094833333,13.1944,0.941566667,0.4889,41.43256667,0.702866667,0.181366667,0.398433333,0.112266667,1.189366667,0.044333333,0.133166667
3052,0.2263,0.727366667,0.019533333,0.007866667,0.123033333,0.203133333,0.598833333,167.1083333,0.005966667,0.003466667,1.171233333,13.2966,1.172766667,0.437933333,48.41523333,0.681233333,0.191933333,0.217933333,0.0694,1.400233333,0.018066667,0.1236
3076,0.1921,0.546966667,0.019333333,0.007266667,0.1382,0.212633333,0.598233333,184.1296333,0.014333333,0.0005,1.1378,13.58616667,1.0335,0.3453,44.53213333,0.6769,0.226866667,0.1548,0.0759,1.2515,0.017633333,0.162333333
3077,0.21595,0.5903,0.01665,0.0073,0.2987,0.16975,0.6043,139.4971,0.0304,0.0041,1.1202,11.3923,1.05295,0.33555,60.94415,0.66195,0.1986,0.1257,0.15775,1.19305,0.01605,0.1361
3078,0.218166667,0.743533333,0.020166667,0.006666667,0.166966667,0.202333333,0.632466667,189.8388,0.0391,0.0063,2.389166667,10.2575,1.172433333,0.526366667,45.77606667,0.673833333,0.270733333,0.3126,0.095333333,1.356133333,0.024433333,0.143933333
3114,0.2254,0.886,0.023333333,0.005266667,0.047366667,0.170466667,0.666033333,276.0300333,0.019933333,0.007866667,2.5111,12.02676667,1.076033333,0.621466667,28.5117,0.6866,0.372166667,0.397266667,0.070533333,1.189633333,0.047066667,0.0995
3121,0.2527,0.808366667,0.018966667,0.004,0.264366667,0.115066667,0.6514,157.0963667,0.010366667,0.009633333,1.882133333,8.744066667,1.154533333,0.632266667,58.08633333,0.689433333,0.238,0.337433333,0.179366667,1.869133333,0.026633333,0.065133333
3122,0.249733333,0.510466667,0.0166,0.0072,0.386866667,0.115366667,0.6115,73.2465,0.027633333,0.007033333,1.454833333,7.895766667,1.021533333,0.471633333,82.16196667,0.665433333,0.1465,0.166133333,0.211066667,1.988666667,0.016766667,0.0582
3123,0.231933333,0.5703,0.0144,0.005033333,0.349533333,0.140766667,0.591566667,87.26826667,0.023966667,0.003366667,1.077766667,9.1648,1.068033333,0.3899,79.03586667,0.652066667,0.129633333,0.118066667,0.1871,1.032966667,0.015166667,0.2234
3124,0.219466667,0.6992,0.018833333,0.005,0.2981,0.159133333,0.575566667,133.0060667,0.0366,0.003966667,1.2383,10.3486,1.0559,0.367233333,63.84813333,0.6603,0.1321,0.1351,0.168533333,1.4895,0.018766667,0.269566667
3125,0.120233333,0.4983,0.029,0.0043,0.379433333,0.1597,0.592033333,159.1410667,0.02,0.001733333,1.088033333,14.8922,1.205566667,0.2243,52.34416667,0.6782,0.101933333,0.211166667,0.211833333,1.221966667,0.019633333,0.285733333
3126,0.175766667,1.2719,0.025533333,0.003066667,0.164166667,0.206533333,0.624266667,244.3856333,0.009633333,0.002833333,1.495866667,8.9057,1.181433333,0.420866667,30.09873333,0.6847,0.1729,0.488133333,0.1318,1.250433333,0.0314,0.133466667
3127,0.2555,0.623566667,0.021466667,0.008866667,0.237633333,0.180166667,0.644866667,173.6109,0.039066667,0.008766667,2.462,10.39476667,1.3119,0.557366667,61.7474,0.692,0.205966667,0.275966667,0.129866667,2.759366667,0.025766667,0.245133333
3265,0.323766667,1.100866667,0.022333333,0.0088,0.1451,0.225766667,0.440533333,202.2658333,0.0123,0.012166667,1.263266667,5.6705,0.8515,0.688866667,21.9139,0.620433333,0.3305,0.399233333,0.065933333,1.223266667,0.0432,0.063033333
3266,0.3405,1.1019,0.021133333,0.015166667,0.3349,0.167166667,0.426733333,124.8456333,0.012066667,0.010833333,1.214333333,7.3381,1.1092,0.596966667,66.18876667,0.6517,0.093733333,0.273466667,0.180533333,2.107066667,0.025133333,0.030233333
3311,0.341266667,0.960833333,0.0198,0.015366667,0.236066667,0.1635,0.430966667,128.3183,0.0112,0.009866667,1.143933333,6.9562,0.983566667,0.677866667,56.05473333,0.621766667,0.144933333,0.3633,0.137633333,1.316833333,0.034366667,0.044966667
3313,0.315133333,0.804166667,0.0222,0.015333333,0.3285,0.117633333,0.394066667,99.21626667,0.0182,0.011866667,1.090533333,4.409566667,0.842566667,0.556266667,61.1536,0.6267,0.187466667,0.2336,0.170966667,1.178466667,0.0304,0.0187
3314,0.3205,0.9287,0.018466667,0.0392,0.077066667,0.215433333,0.469833333,209.5210333,0.009433333,0.0083,1.2018,5.616566667,1.0806,0.695066667,24.43916667,0.644833333,0.245966667,0.414266667,0.061733333,1.193233333,0.029033333,0.055366667
3315,0.3118,1.508566667,0.0252,0.0213,0.2546,0.149,0.404433333,146.2080667,0.009766667,0.0078,1.021766667,8.030966667,0.7223,0.520333333,43.62823333,0.6043,0.194533333,0.318166667,0.1465,1.093766667,0.0496,0.018133333
